hotel,district,season,n,term,count
Астра,Нижегородский,Лето,1,номер,13
Гостиница Кстово,Нижегородский,Лето,1,номер,12
Славянка,Ленинский,Лето,1,номер,11
Спать,Советский,Лето,1,очень,9
Azimut Отель Нижний Новгород,Канавинский,Осень,1,номер,9
Астра,Нижегородский,Весна,1,номер,8
Московская,Московский,Зима,1,номер,8
Тихий дворик,Московский,Осень,1,номер,7
Baker Street,Московский,Лето,1,стройка,7
Baker Street,Московский,Лето,1,отель,7
Baker Street,Московский,Лето,1,номер,7
Московская,Московский,Лето,1,номер,7
МаксРоял,Ленинский,Зима,1,номер,6
Александраполь,Нижегородский,Лето,1,номер,6
Астра,Нижегородский,Лето,1,очень,6
Клевер Удачи,Нижегородский,Лето,1,номер,6
Акварель,Советский,Весна,1,номер,6
Мона Лиза,Сормовский,Осень,1,номер,5
Тихий дворик,Московский,Лето,1,номер,5
ОКА,Канавинский,Осень,1,номер,5
Октябрьская,Советский,Лето,1,номер,5
Гостиница Кстово,Нижегородский,Лето,1,завтрак,5
Острожский Вал,Советский,Лето,1,очень,5
Клевер Удачи,Нижегородский,Лето,1,вода,5
Гранд Отель ОКА Премиум,Московский,Осень,1,номер,5
Гостиница Кстово,Нижегородский,Лето,1,гостиница,5
Дисней,Приокский,Лето,1,номер,5
Агродом,Нижегородский,Осень,1,номер,5
Первый класс,Нижегородский,Осень,1,ресторан,5
Тихий дворик,Московский,Осень,1,это,5
Маяк,Сормовский,Весна,1,номер,5
Машина избушка,Канавинский,Осень,1,номер,5
Baker Street,Московский,Лето,1,грязь,5
Машина избушка,Канавинский,Зима,1,номер,5
Острожский Вал,Советский,Лето,1,номер,5
Острожский Вал,Советский,Осень,1,очень,5
Астра,Нижегородский,Лето,1,весь,5
Azimut Отель Нижний Новгород,Канавинский,Осень,1,очень,5
Астра,Нижегородский,Лето,1,гостиница,5
Спать,Советский,Лето,1,место,5
Славянка,Ленинский,Лето,1,вода,4
Парк Культуры,Автозаводский,Зима,1,сауна,4
Славянка,Ленинский,Зима,1,номер,4
Титул,Советский,Осень,1,номер,4
Гостиница Кстово,Нижегородский,Лето,1,хороший,4
Гранат,Советский,Лето,1,номер,4
Спать,Советский,Лето,1,дверь,4
Гранд Отель ОКА Премиум,Московский,Лето,1,номер,4
Надежда,Московский,Зима,1,номер,4
Астра,Нижегородский,Лето,1,вода,4
Парк Культуры,Автозаводский,Лето,1,это,4
Астра,Нижегородский,Весна,1,вода,4
Арт 11,Советский,Лето,1,номер,4
Астра,Нижегородский,Лето,1,завтрак,4
Славянка,Ленинский,Лето,1,старый,4
Очаг,Советский,Лето,1,отель,4
Московская,Московский,Лето,1,завтрак,4
Гостиница Кстово,Нижегородский,Зима,1,цена,4
Титул,Советский,Весна,1,номер,4
Покровка25,Нижегородский,Осень,1,отель,4
Очаг,Советский,Лето,1,номер,4
Очаг,Советский,Весна,1,номер,4
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,1,отель,4
Les&Park,Приокский,Лето,1,номер,4
Острожский Вал,Советский,Весна,1,номер,4
Славянка,Ленинский,Осень,1,номер,4
Гостиница Кстово,Нижегородский,Весна,1,номер,4
Спать,Советский,Лето,1,туалет,4
Гостиница Кстово,Нижегородский,Весна,1,гостиница,4
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,1,отель,4
Александраполь,Нижегородский,Лето,1,завтрак,4
Надежда,Московский,Осень,1,номер,4
Кристалл,Канавинский,Лето,1,отель,4
Кристалл,Канавинский,Лето,1,номер,4
Тихий дворик,Московский,Осень,1,ржавый,4
Baker Street,Московский,Лето,1,центр,4
Майский сад,Канавинский,Весна,1,час,4
Марлен,Сормовский,Осень,1,номер,4
Baker Street,Московский,Лето,1,это,4
Baker Street,Московский,Лето,1,идти,4
Фонда,Советский,Лето,1,завтрак,4
Baker Street,Московский,Лето,1,гостиница,4
МаксРоял,Ленинский,Лето,1,отель,4
Мартон ОКА,Московский,Лето,1,номер,4
Калитка,Московский,Лето,1,номер,4
Мартон ОКА,Московский,Осень,1,день,4
Кристалл,Канавинский,Лето,1,кровать,4
Мона Лиза,Сормовский,Осень,1,телевизор,4
МаксРоял,Ленинский,Лето,1,это,4
Baker Street,Московский,Лето,1,вокруг,4
Астра,Нижегородский,Лето,1,маленький,3
Кристалл,Канавинский,Лето,1,грязный,3
Мартон ОКА,Московский,Лето,1,отель,3
Кристалл,Канавинский,Лето,1,вообще,3
Мартон ОКА,Московский,Лето,1,проблема,3
Мартон ОКА,Московский,Осень,1,горячий,3
Парк Культуры,Автозаводский,Зима,1,бассейн,3
Астра,Нижегородский,Лето,1,окно,3
Кристалл,Канавинский,Лето,1,очень,3
Мартон ОКА,Московский,Осень,1,гостиница,3
Очаг,Советский,Осень,1,запах,3
Парк Культуры,Автозаводский,Лето,1,номер,3
Очаг,Советский,Лето,1,очень,3
Дисней,Приокский,Лето,1,час,3
Лесной квартал,Нижегородский,Осень,1,связь,3
Астра,Нижегородский,Весна,1,горячий,3
Позитив,Московский,Лето,1,ужасный,3
Славянка,Ленинский,Лето,1,гостиница,3
Марлен,Сормовский,Весна,1,гостиница,3
Марлен,Сормовский,Весна,1,завтрак,3
Агродом,Нижегородский,Осень,1,туалет,3
Агродом,Нижегородский,Осень,1,хороший,3
МаксРоял,Ленинский,Лето,1,хороший,3
Марлен,Сормовский,Весна,1,очень,3
Покровка25,Нижегородский,Осень,1,номер,3
МаксРоял,Ленинский,Лето,1,очень,3
Мартон ОКА,Московский,Осень,1,номер,3
Первый класс,Нижегородский,Осень,1,номер,3
Первый класс,Нижегородский,Осень,1,гостиница,3
Александраполь,Нижегородский,Зима,1,вода,3
МаксРоял,Ленинский,Лето,1,огромный,3
Первый класс,Нижегородский,Лето,1,сухой,3
МаксРоял,Ленинский,Лето,1,находиться,3
Марлен,Сормовский,Осень,1,грязный,3
Арт 11,Советский,Лето,1,туалет,3
Кристалл,Канавинский,Весна,1,номер,3
Острожский Вал,Советский,Лето,1,это,3
Байка,Канавинский,Зима,1,номер,3
Каскад,Сормовский,Осень,1,это,3
ОКА,Канавинский,Осень,1,стол,3
Каскад,Сормовский,Осень,1,весь,3
Гостиница Кстово,Нижегородский,Лето,1,человек,3
Гостиница Кстово,Нижегородский,Лето,1,это,3
Мона Лиза,Сормовский,Зима,1,номер,3
Нижний,Канавинский,Лето,1,номер,3
Нижний,Канавинский,Зима,1,третий,3
Надежда,Московский,Осень,1,это,3
Славянка,Ленинский,Лето,1,звезда,3
Калитка,Московский,Лето,1,хороший,3
Надежда,Московский,Лето,1,номер,3
Гранд Отель ОКА Премиум,Московский,Лето,1,сильно,3
Мона Лиза,Сормовский,Лето,1,очень,3
Надежда,Московский,Весна,1,ребенок,3
Дисней,Приокский,Зима,1,номер,3
Московская,Московский,Лето,1,это,3
Дисней,Приокский,Зима,1,это,3
Московская,Московский,Лето,1,очень,3
Московская,Московский,Зима,1,больший,3
Гостиница Кстово,Нижегородский,Лето,1,ужин,3
Гостиница Кстово,Нижегородский,Лето,1,сережка,3
Князь,Московский,Лето,1,номер,3
Гостиница Кстово,Нижегородский,Лето,1,полотенце,3
Мартон ОКА,Московский,Осень,1,проживание,3
Острожский Вал,Советский,Осень,1,минус,3
Зори,Московский,Весна,1,очень,3
Машина избушка,Канавинский,Весна,1,номер,3
Ботаника Лофт,Канавинский,Осень,1,окно,3
Острожский Вал,Советский,Лето,1,грязный,3
Весна,Нижегородский,Осень,1,номер,3
Воробей,Московский,Осень,1,отель,3
ГагариНН,Нижегородский,Лето,1,капсула,3
Клевер Удачи,Нижегородский,Осень,1,чистый,3
Клевер Удачи,Нижегородский,Осень,1,стол,3
Гостиница Кстово,Нижегородский,Весна,1,это,3
Машина избушка,Канавинский,Осень,1,очень,3
Международный аэропорт имени В. П. Чкалова,Автозаводский,Зима,1,очень,3
Острожский Вал,Советский,Весна,1,место,3
Клевер Удачи,Нижегородский,Лето,1,комната,3
Клевер Удачи,Нижегородский,Лето,1,дать,3
Мини Отель на Сергиевской 13,Канавинский,Зима,1,номер,3
Гостиница Кстово,Нижегородский,Лето,1,кровать,3
Яблоки,Ленинский,Осень,1,бассейн,3
Астра,Нижегородский,Лето,1,персонал,3
Сова,Советский,Лето,1,номер,3
Яблоки,Ленинский,Весна,1,номер,3
Тихий дворик,Московский,Осень,1,который,3
Славянка,Ленинский,Лето,1,спать,3
Тихий дворик,Московский,Осень,1,грязный,3
Les&Park,Приокский,Лето,1,это,3
Gorky,Советский,Лето,1,стена,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,очень,3
Gorky,Советский,Осень,1,номер,3
Gorky,Советский,Осень,1,окно,3
Les&Park,Приокский,Осень,1,кафе,3
Спать,Советский,Лето,1,грязный,3
Azimut Отель Нижний Новгород,Канавинский,Осень,1,завтрак,3
Чугунок,Канавинский,Лето,1,блюдо,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,номер,3
Baker Street,Московский,Осень,1,номер,3
Baker Street,Московский,Лето,1,рядом,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,1,отель,3
Сова,Советский,Лето,1,очень,3
Baker Street,Московский,Лето,1,весь,3
Фонда,Советский,Лето,1,пятно,3
Спать,Советский,Лето,1,сомнительный,3
Marins Нижний Новгород,Канавинский,Лето,1,номер,3
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,1,номер,3
Тихий дворик,Московский,Лето,1,это,3
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,хороший,3
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,отель,3
Фонда,Советский,Лето,1,номер,3
Спать,Советский,Лето,1,расположение,3
Спать,Советский,Лето,1,номер,3
Тихий дворик,Московский,Лето,1,гостиница,3
Gorky,Советский,Зима,1,душевая,3
Azimut Отель Нижний Новгород,Канавинский,Зима,1,вид,3
Славянка,Ленинский,Лето,1,очень,3
Тихий дворик,Московский,Осень,1,стена,3
Автозаводская,Автозаводский,Лето,1,гостиница,3
Спать,Советский,Лето,1,ночь,3
Яблоки,Ленинский,Зима,1,номер,3
Golden House,Московский,Лето,1,номер,3
Тихий дворик,Московский,Зима,1,это,3
Attashe,Московский,Лето,1,день,3
Тихий дворик,Московский,Лето,1,ночь,3
Титул,Советский,Осень,1,отель,3
Golden House,Московский,Лето,1,который,3
Славянка,Ленинский,Лето,1,невозможный,3
Тихий дворик,Московский,Осень,1,большой,2
Тихий дворик,Московский,Осень,1,весь,2
Мини Отель на Сергиевской 13,Канавинский,Зима,1,окно,2
Московская,Московский,Зима,1,интересный,2
Тихий дворик,Московский,Осень,1,везде,2
Мона Лиза,Сормовский,Осень,1,подготовить,2
Мини Отель на Сергиевской 13,Канавинский,Зима,1,плохой,2
Тихий дворик,Московский,Осень,1,плесень,2
Тихий дворик,Московский,Осень,1,пол,2
Мона Лиза,Сормовский,Осень,1,завтрак,2
Мона Лиза,Сормовский,Осень,1,гостиница,2
Мини Отель на Сергиевской 13,Канавинский,Лето,1,дверь,2
Мона Лиза,Сормовский,Лето,1,день,2
Мона Лиза,Сормовский,Зима,1,отель,2
Тихий дворик,Московский,Осень,1,гостиница,2
Мини Отель на Сергиевской 13,Канавинский,Лето,1,номер,2
Мини Отель на Сергиевской 13,Канавинский,Лето,1,окно,2
Мини Отель на Сергиевской 13,Канавинский,Лето,1,очень,2
Московская,Московский,Зима,1,очень,2
Мона Лиза,Сормовский,Весна,1,новый,2
Мини Отель на Сергиевской 13,Канавинский,Лето,1,удобный,2
Мона Лиза,Сормовский,Лето,1,номер,2
Славянка,Ленинский,Лето,1,кровать,2
Московская,Московский,Зима,1,холодный,2
Московская,Московский,Зима,1,чисто,2
Надежда,Московский,Весна,1,номер,2
Надежда,Московский,Весна,1,ночь,2
Надежда,Московский,Зима,1,ведро,2
Надежда,Московский,Зима,1,грязный,2
Надежда,Московский,Зима,1,диван,2
Тихий дворик,Московский,Лето,1,матрас,2
Надежда,Московский,Зима,1,плесень,2
Надежда,Московский,Зима,1,плитка,2
Надежда,Московский,Зима,1,работать,2
Надежда,Московский,Зима,1,состояние,2
Надежда,Московский,Зима,1,требовать,2
Надежда,Московский,Зима,2,грязный ковер,2
Тихий дворик,Московский,Лето,1,весь,2
Надежда,Московский,Лето,1,очень,2
Тихий дворик,Московский,Лето,1,вариант,2
Надежда,Московский,Весна,1,коридор,2
Надежда,Московский,Весна,1,завтрак,2
Московская,Московский,Осень,1,гостиница,2
Московская,Московский,Лето,1,неплохой,2
Московская,Московский,Лето,1,бассейн,2
Московская,Московский,Лето,1,вообще,2
Московская,Московский,Лето,1,день,2
Московская,Московский,Лето,1,единственный,2
Тихий дворик,Московский,Лето,1,стена,2
Тихий дворик,Московский,Лето,1,спать,2
Тихий дворик,Московский,Лето,1,приехать,2
Тихий дворик,Московский,Лето,1,окно,2
Тихий дворик,Московский,Лето,1,плесень,2
Московская,Московский,Лето,1,отсутствовать,2
Московская,Московский,Лето,1,персонал,2
Московская,Московский,Лето,1,ребенок,2
Московская,Московский,Лето,1,телевизор,2
Тихий дворик,Московский,Лето,1,переночевать,2
Тихий дворик,Московский,Осень,1,самый,2
Маяк,Сормовский,Осень,1,директор,2
Мини Отель на Сергиевской 13,Канавинский,Весна,1,отель,2
Международный аэропорт имени В. П. Чкалова,Автозаводский,Зима,1,чемодан,2
Мартон ОКА,Московский,Лето,1,зубной,2
Мартон ОКА,Московский,Лето,1,интернет,2
Мартон ОКА,Московский,Лето,1,неплохой,2
Чугунок,Канавинский,Лето,1,плюс,2
Чугунок,Канавинский,Лето,1,неплохой,2
Мартон ОКА,Московский,Лето,1,очень,2
Чугунок,Канавинский,Лето,1,закончиться,2
Мартон ОКА,Московский,Лето,1,целое,2
Мартон ОКА,Московский,Лето,1,чистый,2
Мартон ОКА,Московский,Лето,2,проблема интернет,2
Мартон ОКА,Московский,Осень,1,вода,2
Мартон ОКА,Московский,Осень,1,вокзал,2
Мартон ОКА,Московский,Осень,1,время,2
Чугунок,Канавинский,Лето,1,заведение,2
Чугунок,Канавинский,Зима,1,поэтому,2
Чугунок,Канавинский,Зима,1,вкусный,2
Фонда,Советский,Осень,1,цена,2
Мартон ОКА,Московский,Лето,1,ванный,2
Мартон ОКА,Московский,Лето,1,белье,2
Яблоки,Ленинский,Весна,1,нормальный,2
Яблоки,Ленинский,Лето,1,номер,2
Яблоки,Ленинский,Лето,1,сказать,2
Марлен,Сормовский,Весна,1,комната,2
Яблоки,Ленинский,Лето,1,ребенок,2
Марлен,Сормовский,Весна,1,номер,2
Яблоки,Ленинский,Лето,1,просто,2
Яблоки,Ленинский,Лето,1,прийти,2
Марлен,Сормовский,Весна,1,разный,2
Яблоки,Ленинский,Лето,1,душа,2
Марлен,Сормовский,Осень,1,хотя,2
Марлен,Сормовский,Зима,1,одеяло,2
Марлен,Сормовский,Зима,1,почему,2
Марлен,Сормовский,Лето,1,кафе,2
Яблоки,Ленинский,Зима,1,минус,2
Яблоки,Ленинский,Зима,1,курить,2
Марлен,Сормовский,Осень,1,матрас,2
Яблоки,Ленинский,Весна,1,персонал,2
Мартон ОКА,Московский,Осень,1,данный,2
Фонда,Советский,Лето,1,халат,2
Фонда,Советский,Лето,1,ужасно,2
Тихий дворик,Московский,Осень,2,грязный стена,2
Машина избушка,Канавинский,Зима,1,холодный,2
Машина избушка,Канавинский,Осень,1,большой,2
Машина избушка,Канавинский,Осень,1,день,2
Фонда,Советский,Лето,1,белье,2
Фонда,Советский,Весна,1,хороший,2
Машина избушка,Канавинский,Осень,1,работать,2
Машина избушка,Канавинский,Осень,1,холодный,2
Тихий дворик,Московский,Осень,1,шкаф,2
Фонда,Советский,Лето,1,вид,2
Надежда,Московский,Осень,1,сюда,2
Международный аэропорт имени В. П. Чкалова,Автозаводский,Зима,1,аэропорт,2
Международный аэропорт имени В. П. Чкалова,Автозаводский,Зима,1,весь,2
Тихий дворик,Московский,Осень,1,ужас,2
Международный аэропорт имени В. П. Чкалова,Автозаводский,Зима,1,очередь,2
Международный аэропорт имени В. П. Чкалова,Автозаводский,Зима,1,пройти,2
Тихий дворик,Московский,Осень,1,скотч,2
Машина избушка,Канавинский,Зима,1,очень,2
Машина избушка,Канавинский,Зима,1,большой,2
Мартон ОКА,Московский,Осень,1,дать,2
Мартон ОКА,Московский,Осень,1,очень,2
Фонда,Советский,Лето,1,сравнение,2
Фонда,Советский,Лето,1,сервис,2
Мартон ОКА,Московский,Осень,1,кафе,2
Мартон ОКА,Московский,Осень,1,объяснить,2
Мартон ОКА,Московский,Осень,1,отель,2
Фонда,Советский,Лето,1,плюс,2
Мартон ОКА,Московский,Осень,1,отопление,2
Мартон ОКА,Московский,Осень,1,работать,2
Машина избушка,Канавинский,Весна,1,это,2
Мартон ОКА,Московский,Осень,1,рядом,2
Мартон ОКА,Московский,Осень,1,факт,2
Мартон ОКА,Московский,Осень,1,чайник,2
Мартон ОКА,Московский,Осень,2,горячий вода,2
Машина избушка,Канавинский,Весна,1,весь,2
Фонда,Советский,Лето,1,мост,2
Фонда,Советский,Лето,1,год,2
Надежда,Московский,Осень,1,привозить,2
Норатон,Канавинский,Лето,1,отель,2
Тихий дворик,Московский,Зима,1,тихий,2
Парк Культуры,Автозаводский,Осень,1,сауна,2
Парк Культуры,Автозаводский,Лето,1,бахилы,2
Парк Культуры,Автозаводский,Лето,1,больший,2
Парк Культуры,Автозаводский,Лето,1,комната,2
Парк Культуры,Автозаводский,Лето,1,место,2
Парк Культуры,Автозаводский,Лето,1,отель,2
Сова,Советский,Лето,1,стандарт,2
Парк Культуры,Автозаводский,Лето,1,парковка,2
Парк Культуры,Автозаводский,Лето,1,персонал,2
Сова,Советский,Лето,1,положить,2
Парк Культуры,Автозаводский,Лето,1,плохой,2
Парк Культуры,Автозаводский,Лето,1,угол,2
Сова,Советский,Лето,1,отель,2
Парк Культуры,Автозаводский,Лето,1,хороший,2
Парк Культуры,Автозаводский,Лето,1,чайник,2
Парк Культуры,Автозаводский,Лето,1,чистый,2
Славянка,Ленинский,Осень,1,мятый,2
Парк Культуры,Автозаводский,Лето,2,чистый место,2
Сова,Советский,Лето,1,тысяча,2
Сова,Советский,Лето,1,это,2
Сова,Советский,Лето,2,номер стандарт,2
Очаг,Советский,Лето,1,принимать,2
Очаг,Советский,Лето,1,еле,2
Спать,Советский,Лето,1,маленький,2
Очаг,Советский,Лето,1,нормальный,2
Марко,Нижегородский,Осень,1,гостиница,2
Спать,Советский,Лето,1,коридор,2
Спать,Советский,Лето,1,комната,2
Спать,Советский,Лето,1,искать,2
Очаг,Советский,Лето,1,увидеть,2
Спать,Советский,Весна,1,ночь,2
Очаг,Советский,Лето,1,чистый,2
Очаг,Советский,Лето,2,грязный пятно,2
Спать,Советский,Лето,1,вещь,2
Очаг,Советский,Осень,1,гостиница,2
Спать,Советский,Лето,1,весь,2
Очаг,Советский,Осень,1,очень,2
Спать,Советский,Весна,1,очень,2
Парк Культуры,Автозаводский,Осень,1,люкс,2
Парк Культуры,Автозаводский,Осень,1,это,2
Тихий дворик,Московский,Зима,1,номер,2
Первый класс,Нижегородский,Зима,1,качество,2
Покровка25,Нижегородский,Осень,1,понравиться,2
Покровка25,Нижегородский,Осень,1,холодный,2
Славянка,Ленинский,Лето,1,ребенок,2
Русский Капитал,Автозаводский,Лето,1,вещь,2
Русский Капитал,Автозаводский,Лето,1,номер,2
Славянка,Ленинский,Зима,1,гостиница,2
Славянка,Ленинский,Лето,1,персонал,2
Славянка,Ленинский,Лето,1,отель,2
Славянка,Ленинский,Зима,1,соответствовать,2
Славянка,Ленинский,Зима,1,чистый,2
Славянка,Ленинский,Лето,1,около,2
Славянка,Ленинский,Лето,1,окно,2
Славянка,Ленинский,Лето,1,горячий,2
Славянка,Ленинский,Лето,1,данный,2
Славянка,Ленинский,Лето,1,завтрак,2
Славянка,Ленинский,Лето,1,заселить,2
Славянка,Ленинский,Лето,1,заселиться,2
Славянка,Ленинский,Лето,1,ремонт,2
Славянка,Ленинский,Лето,1,семья,2
Покровка25,Нижегородский,Осень,1,иметь,2
Первый класс,Нижегородский,Лето,1,язык,2
Первый класс,Нижегородский,Лето,1,очень,2
Славянка,Ленинский,Осень,1,запах,2
Первый класс,Нижегородский,Лето,1,просто,2
Первый класс,Нижегородский,Лето,1,стол,2
Славянка,Ленинский,Лето,2,горячий вода,2
Славянка,Ленинский,Лето,1,это,2
Первый класс,Нижегородский,Лето,1,человек,2
Славянка,Ленинский,Лето,1,чистый,2
Покровка25,Нижегородский,Осень,1,завтрак,2
Славянка,Ленинский,Лето,1,стена,2
Позитив,Московский,Зима,1,вода,2
Позитив,Московский,Зима,1,вообще,2
Позитив,Московский,Лето,1,батарея,2
Позитив,Московский,Лето,1,весь,2
Позитив,Московский,Лето,1,запах,2
Славянка,Ленинский,Лето,1,слышимость,2
Очаг,Советский,Лето,1,грязный,2
Очаг,Советский,Лето,1,внутрь,2
Очаг,Советский,Лето,1,белье,2
Очаг,Советский,Зима,1,номер,2
Октябрьская,Советский,Лето,1,завтрак,2
Октябрьская,Советский,Лето,1,минус,2
Октябрьская,Советский,Лето,1,очень,2
Октябрьская,Советский,Лето,1,устать,2
Олимпия,Сормовский,Зима,1,бассейн,2
Олимпия,Сормовский,Зима,1,завтрак,2
Титул,Советский,Лето,1,окно,2
Олимпия,Сормовский,Зима,1,обед,2
Олимпия,Сормовский,Зима,1,персонал,2
Титул,Советский,Лето,1,номер,2
Острожский Вал,Советский,Весна,1,весь,2
Острожский Вал,Советский,Весна,1,гостиница,2
Острожский Вал,Советский,Весна,1,дешевый,2
Острожский Вал,Советский,Весна,1,завтрак,2
Титул,Советский,Лето,1,находиться,2
Титул,Советский,Весна,1,пахнуть,2
Титул,Советский,Весна,1,дорога,2
Октябрьская,Советский,Зима,1,номер,2
Титул,Советский,Лето,1,очень,2
ОКА,Канавинский,Осень,1,это,2
Норатон,Канавинский,Лето,1,берухо,2
Николь,Нижегородский,Зима,1,очень,2
Николь,Нижегородский,Осень,1,отель,2
Николь,Нижегородский,Осень,1,свой,2
Тихий дворик,Московский,Зима,1,дворик,2
Норатон,Канавинский,Весна,1,завтрак,2
Норатон,Канавинский,Весна,1,минус,2
Норатон,Канавинский,Весна,1,номер,2
Славянка,Ленинский,Лето,1,комар,2
Титул,Советский,Лето,1,этаж,2
Норатон,Канавинский,Лето,1,хороший,2
ОКА,Канавинский,Зима,1,тяжелый,2
ОКА,Канавинский,Лето,1,хороший,2
Тихий дворик,Московский,Зима,1,ванная,2
Титул,Советский,Осень,1,старый,2
Титул,Советский,Осень,1,общий,2
ОКА,Канавинский,Осень,1,холодильник,2
Спать,Советский,Лето,1,чистота,2
Спать,Советский,Лето,1,хороший,2
Острожский Вал,Советский,Весна,1,просто,2
Спать,Советский,Лето,1,пол,2
Острожский Вал,Советский,Лето,1,нужный,2
Острожский Вал,Советский,Лето,1,останавливаться,2
Острожский Вал,Советский,Лето,1,позвонить,2
