hotel,district,season,n,term,count
Острожский Вал,Советский,Лето,1,полный,2
Острожский Вал,Советский,Лето,1,сутки,2
Спать,Советский,Лето,1,прийтись,2
Острожский Вал,Советский,Осень,1,завтрак,2
Спать,Советский,Лето,1,одеяло,2
Спать,Советский,Лето,1,санузел,2
Острожский Вал,Советский,Осень,1,устроить,2
Острожский Вал,Советский,Осень,1,хороший,2
Острожский Вал,Советский,Осень,1,цена,2
Острожский Вал,Советский,Осень,1,центр,2
Очаг,Советский,Весна,1,общий,2
Очаг,Советский,Весна,1,полотенце,2
Очаг,Советский,Весна,1,уборка,2
Острожский Вал,Советский,Лето,1,ночь,2
Острожский Вал,Советский,Лето,1,место,2
Острожский Вал,Советский,Весна,1,стена,2
Острожский Вал,Советский,Лето,1,весь,2
Острожский Вал,Советский,Весна,1,таракан,2
Спать,Советский,Лето,1,спать,2
Острожский Вал,Советский,Весна,1,ужасный,2
Острожский Вал,Советский,Весна,1,это,2
Острожский Вал,Советский,Зима,1,грубый,2
Острожский Вал,Советский,Зима,1,номер,2
Острожский Вал,Советский,Зима,1,персонал,2
Острожский Вал,Советский,Лето,1,вода,2
Острожский Вал,Советский,Лето,1,мебель,2
Острожский Вал,Советский,Лето,1,волос,2
Спать,Советский,Лето,1,советовать,2
Спать,Советский,Лето,1,сломать,2
Острожский Вал,Советский,Лето,1,день,2
Острожский Вал,Советский,Лето,1,заселение,2
Острожский Вал,Советский,Лето,1,который,2
Спать,Советский,Лето,1,скрипеть,2
Марко,Нижегородский,Осень,1,номер,2
9 Ночей-Норт,Московский,Лето,1,место,2
Марко,Нижегородский,Лето,1,утюг,2
Автозаводская,Автозаводский,Осень,1,очень,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,расположение,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,самый,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,улица,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,это,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,2,пешеходный улица,2
Автозаводская,Автозаводский,Лето,1,командировка,2
Автозаводская,Автозаводский,Лето,1,очень,2
Автозаводская,Автозаводский,Лето,1,первый,2
Автозаводская,Автозаводский,Лето,1,приезжать,2
Автозаводская,Автозаводский,Осень,1,близко,2
Автозаводская,Автозаводский,Осень,1,помещение,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,подушка,2
Агродом,Нижегородский,Лето,1,номер,2
Агродом,Нижегородский,Лето,1,очень,2
Агродом,Нижегородский,Осень,1,весь,2
Агродом,Нижегородский,Осень,1,двухместный,2
Агродом,Нижегородский,Осень,1,нормальный,2
Агродом,Нижегородский,Осень,1,полка,2
Агродом,Нижегородский,Осень,1,сантехника,2
Агродом,Нижегородский,Осень,1,цокольный,2
Агродом,Нижегородский,Осень,1,этаж,2
Агродом,Нижегородский,Осень,2,цокольный этаж,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,приветливый,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,плюс,2
Астра,Нижегородский,Лето,1,получаться,2
Marins Нижний Новгород,Канавинский,Осень,1,расположение,2
Les&Park,Приокский,Осень,1,неприятный,2
Les&Park,Приокский,Осень,1,номер,2
Les&Park,Приокский,Осень,1,отличный,2
Les&Park,Приокский,Осень,1,очень,2
Les&Park,Приокский,Осень,1,ремонт,2
Les&Park,Приокский,Осень,1,чистый,2
Marins Нижний Новгород,Канавинский,Зима,1,номер,2
Marins Нижний Новгород,Канавинский,Лето,1,кровать,2
Marins Нижний Новгород,Канавинский,Осень,1,номер,2
Marins Нижний Новгород,Канавинский,Осень,1,пластик,2
Marins Нижний Новгород,Канавинский,Осень,1,халат,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,пешеходный,2
Marins Нижний Новгород,Канавинский,Осень,1,целое,2
SunSet,Советский,Лето,1,квартира,2
SunSet,Советский,Лето,1,приехать,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Зима,1,номер,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Лето,1,очень,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,матрас,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,минус,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,номер,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,отличный,2
bobo st.art.hotel Nizhniy Novgorod,Нижегородский,Осень,1,очень,2
Акварель,Советский,Весна,1,завтрак,2
Акварель,Советский,Весна,1,предлагать,2
Акварель,Советский,Весна,1,хостел,2
Астра,Нижегородский,Лето,1,бронировать,2
Арт 11,Советский,Лето,1,коридор,2
Арт 11,Советский,Лето,1,ночь,2
Арт 11,Советский,Осень,1,день,2
Арт 11,Советский,Осень,1,отель,2
Астра,Нижегородский,Весна,1,грязный,2
Астра,Нижегородский,Весна,1,идти,2
Астра,Нижегородский,Весна,1,сырость,2
Астра,Нижегородский,Весна,1,чайник,2
Астра,Нижегородский,Весна,1,это,2
Астра,Нижегородский,Лето,1,администратор,2
Астра,Нижегородский,Лето,1,вежливый,2
Акварель,Советский,Зима,1,персонал,2
Астра,Нижегородский,Лето,1,дать,2
Астра,Нижегородский,Лето,1,делюкс,2
Астра,Нижегородский,Лето,1,душевой,2
Астра,Нижегородский,Лето,1,душный,2
Астра,Нижегородский,Лето,1,еле,2
Астра,Нижегородский,Лето,1,завысить,2
Астра,Нижегородский,Лето,1,закрыть,2
Астра,Нижегородский,Лето,1,кондиционер,2
Астра,Нижегородский,Лето,1,который,2
Астра,Нижегородский,Лето,1,кровать,2
Арт 11,Советский,Зима,1,отель,2
Александраполь,Нижегородский,Лето,1,цена,2
Александраполь,Нижегородский,Лето,1,течет,2
Александраполь,Нижегородский,Лето,1,соответствовать,2
Акварель,Советский,Лето,1,гостиница,2
Акварель,Советский,Лето,1,номер,2
Акварель,Советский,Лето,1,очень,2
Акварель,Советский,Лето,1,персонал,2
Акварель,Советский,Лето,1,хороший,2
Акварель,Советский,Лето,1,это,2
Акварель,Советский,Осень,1,устареть,2
Александраполь,Нижегородский,Весна,1,командировка,2
Александраполь,Нижегородский,Весна,1,номер,2
Александраполь,Нижегородский,Весна,1,очень,2
Александраполь,Нижегородский,Весна,1,хороший,2
Александраполь,Нижегородский,Зима,1,весь,2
Александраполь,Нижегородский,Зима,1,это,2
Александраполь,Нижегородский,Лето,1,вода,2
Александраполь,Нижегородский,Лето,1,качество,2
Александраполь,Нижегородский,Лето,1,который,2
Александраполь,Нижегородский,Лето,1,люкс,2
Александраполь,Нижегородский,Лето,1,одноместный,2
Александраполь,Нижегородский,Лето,1,отвратительный,2
Александраполь,Нижегородский,Лето,1,персонал,2
Александраполь,Нижегородский,Лето,1,просто,2
Les&Park,Приокский,Осень,1,место,2
Les&Park,Приокский,Осень,1,больший,2
Les&Park,Приокский,Осень,1,белье,2
Baker Street,Московский,Лето,1,очень,2
Baker Street,Московский,Весна,1,очень,2
Baker Street,Московский,Лето,1,близость,2
Baker Street,Московский,Лето,1,глобальный,2
Baker Street,Московский,Лето,1,душа,2
Baker Street,Московский,Лето,1,ехать,2
Baker Street,Московский,Лето,1,завтрак,2
Baker Street,Московский,Лето,1,кровать,2
Baker Street,Московский,Лето,1,лужа,2
Baker Street,Московский,Лето,1,набережная,2
Baker Street,Московский,Лето,1,надолго,2
Baker Street,Московский,Лето,1,плюс,2
Baker Street,Московский,Осень,1,пастельный,2
Baker Street,Московский,Лето,1,пока,2
Baker Street,Московский,Лето,1,расположение,2
Baker Street,Московский,Лето,1,уборка,2
Baker Street,Московский,Лето,1,фен,2
Baker Street,Московский,Лето,1,шум,2
Baker Street,Московский,Лето,1,этаж,2
Baker Street,Московский,Осень,1,гостиница,2
Baker Street,Московский,Осень,1,грязь,2
Baker Street,Московский,Осень,1,завтрак,2
Baker Street,Московский,Осень,1,который,2
Baker Street,Московский,Весна,1,номер,2
Baker Street,Московский,Весна,1,находиться,2
Azimut Отель Нижний Новгород,Канавинский,Осень,2,конец октябрь,2
Azimut Отель Нижний Новгород,Канавинский,Осень,1,устать,2
Attashe,Московский,Лето,1,гель,2
Attashe,Московский,Лето,1,крайне,2
Attashe,Московский,Лето,1,мало,2
Attashe,Московский,Лето,1,отель,2
Attashe,Московский,Лето,1,шампунь,2
Azimut Отель Нижний Новгород,Канавинский,Зима,1,окно,2
Azimut Отель Нижний Новгород,Канавинский,Зима,1,река,2
Azimut Отель Нижний Новгород,Канавинский,Зима,1,человек,2
Azimut Отель Нижний Новгород,Канавинский,Зима,2,вид река,2
Azimut Отель Нижний Новгород,Канавинский,Лето,1,вентилятор,2
Azimut Отель Нижний Новгород,Канавинский,Лето,1,минус,2
Azimut Отель Нижний Новгород,Канавинский,Лето,1,номер,2
Azimut Отель Нижний Новгород,Канавинский,Лето,1,сервис,2
Azimut Отель Нижний Новгород,Канавинский,Лето,1,стена,2
Azimut Отель Нижний Новгород,Канавинский,Осень,1,азимут,2
Azimut Отель Нижний Новгород,Канавинский,Осень,1,жить,2
Azimut Отель Нижний Новгород,Канавинский,Осень,1,конец,2
Azimut Отель Нижний Новгород,Канавинский,Осень,1,люкс,2
Azimut Отель Нижний Новгород,Канавинский,Осень,1,маленький,2
Azimut Отель Нижний Новгород,Канавинский,Осень,1,октябрь,2
Azimut Отель Нижний Новгород,Канавинский,Осень,1,полотенце,2
Baker Street,Московский,Осень,1,отель,2
Baker Street,Московский,Осень,1,прийтись,2
Les&Park,Приокский,Осень,1,балкон,2
HomeHotel на Акимова 22Б,Советский,Зима,1,выходной,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,1,день,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,1,день,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,1,номер,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,1,полотенце,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Лето,1,стена,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,1,заменить,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,1,кровать,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,1,отсутствовать,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,1,положить,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Осень,1,чемодан,2
HomeHotel на Акимова 22Б,Советский,Зима,1,документ,2
Baker Street,Московский,Осень,1,чистый,2
HomeHotel на Акимова 22Б,Советский,Зима,1,отчетный,2
HomeHotel на Акимова 22Б,Советский,Зима,2,отчетный документ,2
Les&Park,Приокский,Лето,1,вода,2
Les&Park,Приокский,Лето,1,год,2
Les&Park,Приокский,Лето,1,далеко,2
Les&Park,Приокский,Лето,1,кровать,2
Les&Park,Приокский,Лето,1,место,2
Les&Park,Приокский,Лето,1,оставить,2
Les&Park,Приокский,Лето,1,очень,2
Les&Park,Приокский,Лето,1,удобный,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,1,год,2
Hampton by Hilton Nizhny Novgorod,Нижегородский,Зима,1,вода,2
Gorky,Советский,Лето,1,отель,2
Gorky,Советский,Лето,1,ночь,2
Baker Street,Московский,Осень,1,шум,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Зима,1,найти,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,беда,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,завтрак,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,носок,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,отель,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,центр,2
Cort Inn Nizhny Novgorod City Center,Нижегородский,Осень,1,чистый,2
Golden House,Московский,Зима,1,салат,2
Golden House,Московский,Зима,1,сумма,2
Golden House,Московский,Лето,1,бабушка,2
Golden House,Московский,Лето,1,большой,2
Golden House,Московский,Лето,1,гостиница,2
Golden House,Московский,Лето,1,запах,2
Golden House,Московский,Лето,1,захотеть,2
Golden House,Московский,Лето,1,минута,2
Golden House,Московский,Лето,1,отель,2
Golden House,Московский,Лето,1,работать,2
Golden House,Московский,Лето,1,цена,2
Gorky,Советский,Зима,1,грязный,2
Gorky,Советский,Лето,1,вентиляция,2
Астра,Нижегородский,Лето,1,настолько,2
Астра,Нижегородский,Лето,1,разочарование,2
Марко,Нижегородский,Лето,1,весь,2
Клевер Удачи,Нижегородский,Лето,1,который,2
Каскад,Сормовский,Осень,1,номер,2
Каскад,Сормовский,Осень,1,отель,2
Каскад,Сормовский,Осень,1,хороший,2
КвартРента НН,Канавинский,Весна,1,апартамент,2
Клевер Удачи,Нижегородский,Весна,1,маленький,2
Клевер Удачи,Нижегородский,Весна,1,номер,2
Клевер Удачи,Нижегородский,Лето,1,вонять,2
Клевер Удачи,Нижегородский,Лето,1,далекий,2
Клевер Удачи,Нижегородский,Лето,1,душа,2
Клевер Удачи,Нижегородский,Лето,1,здание,2
Клевер Удачи,Нижегородский,Лето,1,магазин,2
Каскад,Сормовский,Осень,1,завтрак,2
Клевер Удачи,Нижегородский,Лето,1,минус,2
Клевер Удачи,Нижегородский,Лето,1,минута,2
Клевер Удачи,Нижегородский,Лето,1,окно,2
Клевер Удачи,Нижегородский,Лето,1,охранник,2
Клевер Удачи,Нижегородский,Лето,1,приехать,2
Клевер Удачи,Нижегородский,Лето,1,убить,2
Клевер Удачи,Нижегородский,Лето,1,ужасный,2
Клевер Удачи,Нижегородский,Лето,1,утро,2
Клевер Удачи,Нижегородский,Лето,1,шампунь,2
Клевер Удачи,Нижегородский,Осень,1,вода,2
Каскад,Сормовский,Осень,1,менять,2
Каскад,Сормовский,Лето,1,окно,2
Астра,Нижегородский,Лето,1,старый,2
История,Московский,Зима,1,номер,2
Дисней,Приокский,Лето,1,приехать,2
Дисней,Приокский,Лето,1,стоять,2
Дисней,Приокский,Лето,1,убрать,2
Зори,Московский,Лето,1,гостиница,2
Зори,Московский,Лето,1,завтрак,2
Зори,Московский,Лето,1,номер,2
Зори,Московский,Лето,1,цена,2
Зори,Московский,Лето,1,этаж,2
Зори,Московский,Осень,1,комната,2
Зори,Московский,Осень,1,человек,2
История,Московский,Лето,1,сосед,2
Каскад,Сормовский,Весна,1,весь,2
История,Московский,Лето,1,спать,2
История,Московский,Осень,1,отель,2
Калитка,Московский,Зима,1,бронь,2
Калитка,Московский,Зима,1,дата,2
Калитка,Московский,Зима,1,забронировать,2
Калитка,Московский,Зима,1,итог,2
Калитка,Московский,Зима,1,приехать,2
Калитка,Московский,Зима,1,сауна,2
Калитка,Московский,Лето,1,день,2
Калитка,Московский,Лето,1,душа,2
Клевер Удачи,Нижегородский,Осень,1,горячий,2
Клевер Удачи,Нижегородский,Осень,1,номер,2
Клевер Удачи,Нижегородский,Осень,1,отношение,2
МаксРоял,Ленинский,Зима,1,бронировать,2
Кристалл,Канавинский,Лето,2,постельный белье,2
Кристалл,Канавинский,Осень,1,остальной,2
Лесной квартал,Нижегородский,Весна,1,это,2
Лесной квартал,Нижегородский,Зима,1,отвратительный,2
Лесной квартал,Нижегородский,Осень,1,ехать,2
Лесной квартал,Нижегородский,Осень,1,интернет,2
Лесной квартал,Нижегородский,Осень,1,особенно,2
Майский сад,Канавинский,Весна,1,вместо,2
Майский сад,Канавинский,Весна,1,выезд,2
МаксРоял,Ленинский,Весна,1,номер,2
МаксРоял,Ленинский,Зима,1,грязный,2
Клевер Удачи,Нижегородский,Осень,1,очень,2
МаксРоял,Ленинский,Лето,1,далеко,2
МаксРоял,Ленинский,Лето,1,кладбище,2
МаксРоял,Ленинский,Лето,1,минус,2
МаксРоял,Ленинский,Лето,1,общественный,2
МаксРоял,Ленинский,Лето,1,расположение,2
МаксРоял,Ленинский,Лето,1,транспорт,2
МаксРоял,Ленинский,Лето,1,центр,2
МаксРоял,Ленинский,Лето,2,общественный транспорт,2
Марко,Нижегородский,Зима,1,номер,2
Марко,Нижегородский,Зима,1,улица,2
Кристалл,Канавинский,Лето,1,это,2
Кристалл,Канавинский,Лето,1,сутки,2
Кристалл,Канавинский,Лето,1,старый,2
Кристалл,Канавинский,Лето,1,смочь,2
Ключ,Нижегородский,Зима,1,неплохой,2
Ключ,Нижегородский,Лето,1,завтрак,2
Ключ,Нижегородский,Лето,1,номер,2
Ключ,Нижегородский,Осень,1,работать,2
Князь,Московский,Весна,1,максимально,2
Князь,Московский,Весна,1,машина,2
Князь,Московский,Весна,1,место,2
Князь,Московский,Весна,1,номер,2
Князь,Московский,Весна,1,опасный,2
9 Ночей-Норт,Московский,Осень,1,апартамент,2
Князь,Московский,Осень,1,грязный,2
Князь,Московский,Осень,1,название,2
Князь,Московский,Осень,1,это,2
Кристалл,Канавинский,Весна,1,грязный,2
Кристалл,Канавинский,Весна,1,просторный,2
Кристалл,Канавинский,Лето,1,белье,2
Кристалл,Канавинский,Лето,1,далеко,2
Кристалл,Канавинский,Лето,1,место,2
Кристалл,Канавинский,Лето,1,постельный,2
Кристалл,Канавинский,Лето,1,пыль,2
Кристалл,Канавинский,Лето,1,сломать,2
Дисней,Приокский,Лето,1,никакой,2
Дисней,Приокский,Лето,1,мочь,2
Дисней,Приокский,Лето,1,весь,2
Волна,Автозаводский,Лето,1,номер,2
Ботаника Лофт,Канавинский,Осень,1,номер,2
Ботаника Лофт,Канавинский,Осень,1,открытый,2
Ботаника Лофт,Канавинский,Осень,2,открытый окно,2
БугровЪ,Нижегородский,Осень,1,гостиница,2
Весна,Нижегородский,Лето,1,каждый,2
Весна,Нижегородский,Осень,1,ночь,2
Весна,Нижегородский,Осень,1,очень,2
Волна,Автозаводский,Зима,1,гостиница,2
Волна,Автозаводский,Зима,1,номер,2
Волна,Автозаводский,Лето,1,крышечка,2
Воробей,Московский,Осень,1,очень,2
Гостиница Кстово,Нижегородский,Лето,1,документ,2
Воробей,Московский,Осень,1,странный,2
ГагариНН,Нижегородский,Лето,1,ночевать,2
Гостиница Кстово,Нижегородский,Весна,1,вообще,2
Гостиница Кстово,Нижегородский,Весна,1,назвать,2
Гостиница Кстово,Нижегородский,Весна,1,хостел,2
Гостиница Кстово,Нижегородский,Зима,1,приехать,2
Гостиница Кстово,Нижегородский,Лето,1,администратор,2
Гостиница Кстово,Нижегородский,Лето,1,большой,2
Гостиница Кстово,Нижегородский,Лето,1,весь,2
Гостиница Кстово,Нижегородский,Лето,1,вроде,2
Ботаника Лофт,Канавинский,Осень,1,минус,2
Бонджорно,Нижегородский,Осень,2,тихий ужас,2
Бонджорно,Нижегородский,Осень,1,это,2
Бонджорно,Нижегородский,Осень,1,хороший,2
Астра,Нижегородский,Лето,1,стена,2
Астра,Нижегородский,Лето,1,хотя,2
Астра,Нижегородский,Лето,1,цена,2
Астра,Нижегородский,Осень,1,завтрак,2
Астра,Нижегородский,Осень,1,номер,2
Атлантик,Автозаводский,Лето,1,выбор,2
Атлантик,Автозаводский,Лето,1,завтрак,2
Атлантик,Автозаводский,Лето,1,качество,2
Атлантик,Автозаводский,Лето,1,номер,2
Афоня,Нижегородский,Зима,1,чистый,2
Байка,Канавинский,Зима,1,заселение,2
Бонджорно,Нижегородский,Зима,1,блинчик,2
Бонджорно,Нижегородский,Зима,1,завтрак,2
Бонджорно,Нижегородский,Зима,1,заказать,2
Бонджорно,Нижегородский,Зима,1,яйцо,2
Бонджорно,Нижегородский,Лето,1,завтрак,2
Бонджорно,Нижегородский,Лето,1,номер,2
Бонджорно,Нижегородский,Осень,1,гостиница,2
Бонджорно,Нижегородский,Осень,1,отель,2
Бонджорно,Нижегородский,Осень,1,тихий,2
Бонджорно,Нижегородский,Осень,1,ужас,2
Гостиница Кстово,Нижегородский,Лето,1,день,2
Гостиница Кстово,Нижегородский,Лето,1,запах,2
Дисней,Приокский,Лето,1,большой,2
Гранд Отель ОКА Премиум,Московский,Осень,1,мебель,2
Гранд Отель ОКА Премиум,Московский,Лето,1,звезда,2
Гранд Отель ОКА Премиум,Московский,Лето,1,крыша,2
Гранд Отель ОКА Премиум,Московский,Лето,1,отель,2
Гранд Отель ОКА Премиум,Московский,Лето,1,очень,2
Гранд Отель ОКА Премиум,Московский,Лето,1,прийтись,2
Гранд Отель ОКА Премиум,Московский,Лето,1,ресторан,2
Гранд Отель ОКА Премиум,Московский,Лето,1,хороший,2
Гранд Отель ОКА Премиум,Московский,Осень,1,детский,2
Гранд Отель ОКА Премиум,Московский,Осень,1,кроватка,2
Гранд Отель ОКА Премиум,Московский,Осень,1,люкс,2
Гранд Отель ОКА Премиум,Московский,Осень,1,место,2
Гостиница Кстово,Нижегородский,Лето,1,зубной,2
Гранд Отель ОКА Премиум,Московский,Осень,1,ребенок,2
Гранд Отель ОКА Премиум,Московский,Осень,1,тянуть,2
Гранд Отель ОКА Премиум,Московский,Осень,1,устать,2
Гранд Отель ОКА Премиум,Московский,Осень,2,детский кроватка,2
Дисней,Приокский,Зима,1,батарея,2
Дисней,Приокский,Зима,1,владелец,2
Дисней,Приокский,Зима,1,маленький,2
Дисней,Приокский,Зима,1,отель,2
Дисней,Приокский,Зима,1,отзыв,2
Дисней,Приокский,Лето,1,администратор,2
Гранд Отель ОКА Премиум,Московский,Зима,1,ребенок,2
Гранат,Советский,Лето,1,это,2
Гранат,Советский,Лето,1,хороший,2
Гранат,Советский,Лето,1,убираться,2
Гостиница Кстово,Нижегородский,Лето,1,комар,2
Гостиница Кстово,Нижегородский,Лето,1,кофе,2
Гостиница Кстово,Нижегородский,Лето,1,место,2
Гостиница Кстово,Нижегородский,Лето,1,найти,2
Гостиница Кстово,Нижегородский,Лето,1,ночь,2
Гостиница Кстово,Нижегородский,Лето,1,плохой,2
Гостиница Кстово,Нижегородский,Лето,1,прийтись,2
Гостиница Кстово,Нижегородский,Лето,1,спать,2
Гостиница Кстово,Нижегородский,Лето,1,утро,2
Гостиница Кстово,Нижегородский,Лето,1,хостел,2
Гостиница Кстово,Нижегородский,Лето,1,щетка,2
Гостиница Кстово,Нижегородский,Лето,1,яичница,2
Гостиница Кстово,Нижегородский,Лето,2,зубной щетка,2
Гранат,Советский,Весна,1,переслащеный,2
Гранат,Советский,Весна,1,принести,2
Гранат,Советский,Зима,1,номер,2
Гранат,Советский,Зима,1,ресторан,2
Гранат,Советский,Лето,1,день,2
Гранат,Советский,Лето,1,отдохнуть,2
Гранат,Советский,Лето,1,первый,2
Гранат,Советский,Лето,1,ресторан,2
Князь,Московский,Лето,1,дорога,2
