group_field,group,term,tfidf,tf,df,total_terms
season,Осень,номер,0.03575461046292811,950,4,26570
season,Осень,очень,0.022770041400075273,605,4,26570
season,Осень,отель,0.019382762514113663,515,4,26570
season,Осень,хороший,0.014565299209634926,387,4,26570
season,Осень,завтрак,0.01260820474219044,335,4,26570
season,Осень,чистый,0.011780203236733157,313,4,26570
season,Осень,гостиница,0.011667293940534437,310,4,26570
season,Осень,персонал,0.011554384644335718,307,4,26570
season,Осень,уютный,0.010086563793752352,268,4,26570
season,Осень,весь,0.008806925103500188,234,4,26570
season,Осень,чисто,0.008355287918705307,222,4,26570
season,Осень,удобный,0.008317651486639066,221,4,26570
season,Осень,отличный,0.007828377869777945,208,4,26570
season,Осень,понравиться,0.007677832141512984,204,4,26570
season,Осень,место,0.007376740684983064,196,4,26570
season,Осень,это,0.006586375611592021,175,4,26570
season,Осень,расположение,0.00617237485886338,164,4,26570
season,Осень,вкусный,0.005720737674068498,152,4,26570
season,Осень,город,0.004742190440346255,126,4,26570
season,Осень,кровать,0.004742190440346255,126,4,26570
season,Осень,центр,0.004704554008280015,125,4,26570
season,Осень,вежливый,0.004666917576213775,124,4,26570
season,Осень,рядом,0.004591644712081295,122,4,26570
season,Осень,приветливый,0.004365826119683854,116,4,26570
season,Осень,этаж,0.004365826119683854,116,4,26570
season,Осень,приятный,0.004252916823485133,113,4,26570
season,Осень,день,0.0041400075272864136,110,4,26570
season,Осень,цена,0.004027098231087693,107,4,26570
season,Осень,останавливаться,0.004027098231087693,107,4,26570
season,Осень,ночь,0.003951825366955213,105,4,26570
season,Осень,окно,0.0038765525028227324,103,4,26570
season,Осень,большой,0.0038765525028227324,103,4,26570
season,Осень,необходимый,0.003763643206624012,100,4,26570
season,Осень,нижний,0.003726006774557772,99,4,26570
season,Осень,кафе,0.0035754610462928114,95,4,26570
season,Осень,рекомендовать,0.003500188182160331,93,4,26570
season,Осень,больший,0.0032743695897628905,87,4,26570
season,Осень,парковка,0.00312382386149793,83,4,26570
season,Осень,минус,0.00312382386149793,83,4,26570
season,Осень,2,0.00308618742943169,82,4,26570
season,Осень,вид,0.00308618742943169,82,4,26570
season,Осень,вода,0.00304855099736545,81,4,26570
season,Осень,спасибо,0.0030109145652992097,80,4,26570
season,Осень,комфортный,0.0029356417011667294,78,4,26570
season,Осень,ресторан,0.0029356417011667294,78,4,26570
season,Осень,прекрасный,0.0028980052691004892,77,4,26570
season,Осень,стол,0.002822732404968009,75,4,26570
season,Осень,небольшой,0.0027850959729017687,74,4,26570
season,Осень,просторный,0.0025969138125705683,69,4,26570
season,Осень,первый,0.002559277380504328,68,4,26570
season,Лето,номер,0.03814507922663178,1312,4,34395
season,Лето,очень,0.019217909579880798,661,4,34395
season,Лето,отель,0.01872365169356011,644,4,34395
season,Лето,хороший,0.014042738770170083,483,4,34395
season,Лето,гостиница,0.012007559238261375,413,4,34395
season,Лето,завтрак,0.011222561418810874,386,4,34395
season,Лето,чистый,0.010670155545864224,367,4,34395
season,Лето,персонал,0.010059601686291612,346,4,34395
season,Лето,весь,0.009710713766535834,334,4,34395
season,Лето,уютный,0.008809419973833405,303,4,34395
season,Лето,это,0.008053496147695885,277,4,34395
season,Лето,удобный,0.007762756214566071,267,4,34395
season,Лето,место,0.007733682221253089,266,4,34395
season,Лето,чисто,0.007617386248001163,262,4,34395
season,Лето,отличный,0.007006832388428551,241,4,34395
season,Лето,расположение,0.005960168629161215,205,4,34395
season,Лето,рядом,0.0052623927896496584,181,4,34395
season,Лето,центр,0.005175170809710714,178,4,34395
season,Лето,понравиться,0.005058874836458787,174,4,34395
season,Лето,кровать,0.005000726849832824,172,4,34395
season,Лето,вежливый,0.004971652856519843,171,4,34395
season,Лето,день,0.0048844308765808985,168,4,34395
season,Лето,вкусный,0.004709986916703009,162,4,34395
season,Лето,город,0.004680912923390027,161,4,34395
season,Лето,ночь,0.004680912923390027,161,4,34395
season,Лето,приветливый,0.004448320976886176,153,4,34395
season,Лето,кондиционер,0.004332025003634249,149,4,34395
season,Лето,этаж,0.004273877017008286,147,4,34395
season,Лето,останавливаться,0.004273877017008286,147,4,34395
season,Лето,цена,0.0042448030236953045,146,4,34395
season,Лето,необходимый,0.004041285070504433,139,4,34395
season,Лето,окно,0.0039831370838784705,137,4,34395
season,Лето,большой,0.003895915103939526,134,4,34395
season,Лето,парковка,0.0037796191306875998,130,4,34395
season,Лето,приятный,0.0037505451373746183,129,4,34395
season,Лето,нижний,0.003663323157435674,126,4,34395
season,Лето,полотенце,0.0036051751708097105,124,4,34395
season,Лето,плюс,0.003517953190870766,121,4,34395
season,Лето,холодильник,0.00340165721761884,117,4,34395
season,Лето,минус,0.003343509230992877,115,4,34395
season,Лето,вода,0.003285361244366914,113,4,34395
season,Лето,который,0.003139991277802006,108,4,34395
season,Лето,2,0.003139991277802006,108,4,34395
season,Лето,администратор,0.003081843291176043,106,4,34395
season,Лето,комната,0.002965547317924117,102,4,34395
season,Лето,свой,0.0029364733246111355,101,4,34395
season,Лето,чайник,0.0029073993312981536,100,4,34395
season,Лето,минута,0.0029073993312981536,100,4,34395
season,Лето,рекомендовать,0.002878325337985172,99,4,34395
season,Лето,белье,0.002820177351359209,97,4,34395
season,Зима,номер,0.041344376754055716,604,4,14609
season,Зима,очень,0.021082894106372783,308,4,14609
season,Зима,отель,0.020193031692792116,295,4,14609
season,Зима,хороший,0.01410089670750907,206,4,14609
season,Зима,персонал,0.011910466151002807,174,4,14609
season,Зима,завтрак,0.011499760421657882,168,4,14609
season,Зима,гостиница,0.010678348962968034,156,4,14609
season,Зима,чистый,0.010336094188513929,151,4,14609
season,Зима,уютный,0.010199192278732288,149,4,14609
season,Зима,весь,0.008898624135806695,130,4,14609
season,Зима,отличный,0.008898624135806695,130,4,14609
season,Зима,удобный,0.008693271271134232,127,4,14609
season,Зима,чисто,0.00848791840646177,124,4,14609
season,Зима,место,0.007666506947771922,112,4,14609
season,Зима,понравиться,0.006297487849955507,92,4,14609
season,Зима,это,0.006297487849955507,92,4,14609
season,Зима,вкусный,0.005818331165719762,85,4,14609
season,Зима,кровать,0.005133821616811554,75,4,14609
season,Зима,вежливый,0.004860017797248271,71,4,14609
season,Зима,приветливый,0.004791566842357451,70,4,14609
season,Зима,расположение,0.0047231158874666305,69,4,14609
season,Зима,центр,0.0047231158874666305,69,4,14609
season,Зима,приятный,0.004449312067903347,65,4,14609
season,Зима,цена,0.004380861113012526,64,4,14609
season,Зима,день,0.004243959203230885,62,4,14609
season,Зима,большой,0.004107057293449244,60,4,14609
season,Зима,останавливаться,0.004107057293449244,60,4,14609
season,Зима,необходимый,0.004107057293449244,60,4,14609
season,Зима,рядом,0.003970155383667602,58,4,14609
season,Зима,город,0.00376480251899514,55,4,14609
season,Зима,прекрасный,0.00376480251899514,55,4,14609
season,Зима,минус,0.003422547744541036,50,4,14609
season,Зима,чайник,0.003285645834759395,48,4,14609
season,Зима,рекомендовать,0.0032171948798685743,47,4,14609
season,Зима,администратор,0.0032171948798685743,47,4,14609
season,Зима,вода,0.0032171948798685743,47,4,14609
season,Зима,парковка,0.0030802929700869328,45,4,14609
season,Зима,ресторан,0.0030802929700869328,45,4,14609
season,Зима,окно,0.003011842015196112,44,4,14609
season,Зима,теплый,0.0028749401054144704,42,4,14609
season,Зима,кафе,0.0028749401054144704,42,4,14609
season,Зима,холодильник,0.0028064891505236497,41,4,14609
season,Зима,нижний,0.0028064891505236497,41,4,14609
season,Зима,ремонт,0.0028064891505236497,41,4,14609
season,Зима,еда,0.002738038195632829,40,4,14609
season,Зима,полотенце,0.002738038195632829,40,4,14609
season,Зима,5,0.0026695872407420085,39,4,14609
season,Зима,комната,0.0026695872407420085,39,4,14609
season,Зима,небольшой,0.0026695872407420085,39,4,14609
season,Зима,этаж,0.0026695872407420085,39,4,14609
season,Весна,номер,0.03844958026738522,371,4,9649
season,Весна,очень,0.020520261166960308,198,4,9649
season,Весна,отель,0.015545652399212354,150,4,9649
season,Весна,чистый,0.013369261063322624,129,4,9649
season,Весна,персонал,0.012436521919369883,120,4,9649
season,Весна,хороший,0.012332884236708468,119,4,9649
season,Весна,гостиница,0.010674681314125816,103,4,9649
season,Весна,завтрак,0.010260130583480154,99,4,9649
season,Весна,место,0.00963830448751166,93,4,9649
season,Весна,уютный,0.009016478391543166,87,4,9649
season,Весна,это,0.008809203026220333,85,4,9649
season,Весна,отличный,0.008705565343558918,84,4,9649
season,Весна,весь,0.008083739247590423,78,4,9649
season,Весна,чисто,0.007254637786299098,70,4,9649
season,Весна,рядом,0.006425536325007773,62,4,9649
season,Весна,удобный,0.006321898642346357,61,4,9649
season,Весна,понравиться,0.006114623277023526,59,4,9649
season,Весна,вежливый,0.005389159498393616,52,4,9649
season,Весна,приятный,0.0052855218157322,51,4,9649
season,Весна,вкусный,0.005181884133070785,50,4,9649
season,Весна,город,0.004767333402425122,46,4,9649
season,Весна,расположение,0.004767333402425122,46,4,9649
season,Весна,ночь,0.004767333402425122,46,4,9649
season,Весна,кровать,0.004663695719763706,45,4,9649
season,Весна,приветливый,0.004663695719763706,45,4,9649
season,Весна,цена,0.0045600580371022905,44,4,9649
season,Весна,центр,0.0045600580371022905,44,4,9649
season,Весна,рекомендовать,0.004456420354440875,43,4,9649
season,Весна,чайник,0.004145507306456628,40,4,9649
season,Весна,окно,0.004145507306456628,40,4,9649
season,Весна,плюс,0.004041869623795212,39,4,9649
season,Весна,большой,0.0038345942584723804,37,4,9649
season,Весна,больший,0.0038345942584723804,37,4,9649
season,Весна,необходимый,0.0038345942584723804,37,4,9649
season,Весна,белье,0.0038345942584723804,37,4,9649
season,Весна,минус,0.003627318893149549,35,4,9649
season,Весна,этаж,0.003627318893149549,35,4,9649
season,Весна,2,0.003627318893149549,35,4,9649
season,Весна,день,0.003627318893149549,35,4,9649
season,Весна,вода,0.003627318893149549,35,4,9649
season,Весна,полотенце,0.0035236812104881333,34,4,9649
season,Весна,тихий,0.0032127681625038866,31,4,9649
season,Весна,администратор,0.0031091304798424708,30,4,9649
season,Весна,останавливаться,0.0031091304798424708,30,4,9649
season,Весна,холодильник,0.003005492797181055,29,4,9649
season,Весна,минута,0.003005492797181055,29,4,9649
season,Весна,парковка,0.003005492797181055,29,4,9649
season,Весна,который,0.0027982174318582236,27,4,9649
season,Весна,комната,0.002694579749196808,26,4,9649
season,Весна,комфортный,0.002694579749196808,26,4,9649
